country,capacity_MW,primary_fuel,generation_technology,age,output_MWh,fuel_used
United_States,840,natural_gas,CCGT,13,486175,gas
Japan,250,oil,subcritical,10,176216,oil
Mexico,770,natural_gas,CCGT,32,0,gas
Colombia,208,oil,subcritical,37,416230,oil
China,2400,coal,supercritical,11,5267840,coal
Bolivia,14,natural_gas,OCGT,19,4463,gas
Brazil,1040,natural_gas,CCGT,16,4543482,gas
Spain,324,bituminous,subcritical,21,1333422,coal
Spain,300,natural_gas,CCGT,21,1013303,gas
Argentina,206,natural_gas,subcritical,48,1043870,gas
United_States,460,natural_gas,OCGT,24,1333567,gas
United_States,1782,bituminous,subcritical,32,16500000,coal
Australia,435,natural_gas,CCGT,8,0,gas
China,600,bituminous,subcritical,48,2611700,coal
Japan,1200,bituminous,supercritical,19,6817015,coal
United_States,1570,natural_gas,CCGT,32,2554022,gas
United_States,1370,natural_gas,CCGT,33,5863563,gas
Bangladesh,52,oil,OCGT,5,0,oil
United_States,558,subbituminous,subcritical,15,3848348,coal
Panama,59,oil,subcritical,32,0,oil
Russia,408,natural_gas,subcritical,55,1550000,gas
United_States,652,natural_gas,CCGT,59,4531000,gas
Libya,435,natural_gas,OCGT,-14,2200000,gas
United_States,160,natural_gas,CCGT,30,161911,gas
United_States,2,bituminous,subcritical,48,0,coal
Egypt,1254,oil,subcritical,7,6041628,oil
Italy,1280,oil,subcritical,21,6041628,oil
China,510,natural_gas,CCGT,11,3641594,gas
Japan,1245,natural_gas,CCGT,54,4880687,gas
United_Kingdom,842,natural_gas,CCGT,8,2205081,gas
United_States,160,natural_gas,CCGT,30,161911,gas
China,1200,bituminous,subcritical,21,0,coal
United_Kingdom,123,natural_gas,CCGT,64,113315,gas
Bangladesh,450,natural_gas,CCGT,15,2579271,gas
Poland,858,lignite,supercritical,61,1468640,coal
United_States,1000,natural_gas,CCGT,13,0,gas
China,1080,lignite,subcritical,33,5172150,coal
Pakistan,450,natural_gas,CCGT,9,0,gas
Germany,3680,lignite,subcritical,47,29600000,coal
Hungary,110,natural_gas,CCGT,18,60892,gas
Germany,11,natural_gas,CCGT,24,95256,gas
Russia,18,natural_gas,subcritical,58,34162,gas
Russia,386,bituminous,cogeneration,70,839743,coal
Japan,1446,oil,subcritical,43,3509504,oil
Iran,954,natural_gas,CCGT,22,2475519,gas
United_States,55,natural_gas,CCGT,26,86825,gas
Philippines,1500,natural_gas,CCGT,21,16401,gas
Saudi_Arabia,8,oil,Engine,5,5531,oil
South_Africa,125,bituminous,subcritical,4,565348,coal
Canada,44,natural_gas,OCGT,61,37782,gas
Singapore,80,natural_gas,CCGT,39,258083,gas
New_Caledonia,55,natural_gas,CCGT,24,115259,gas
China,1200,bituminous,supercritical,22,9638495,coal
United_Kingdom,2000,natural_gas,CCGT,50,8955270,gas
Kenya,74,oil,Engine,18,657804,oil
Netherlands,218,natural_gas,CCGT,29,629016,gas
Argentina,1138,natural_gas,subcritical,48,5323759,gas
Syrian_Arab_Republic,544,natural_gas,CCGT,8,2492198,gas
United_States,279,subbituminous,subcritical,62,1550877,coal
Georgia,110,natural_gas,OCGT,11,60892,gas
India,250,lignite,subcritical,10,465588,coal
Russia,266,natural_gas,CCGT,58,1625424,gas
Bangladesh,250,bituminous,subcritical,11,978887,coal
United_States,1136,natural_gas,CCGT,13,5323759,gas
United_Kingdom,1428,coal,subcritical,38,6351414,coal
Malaysia,762,natural_gas,CCGT,55,0,gas
Spain,800,natural_gas,CCGT,6,478387,gas
Turkey,433,natural_gas,CCGT,27,1664487,gas
Republic_of_Macedonia,675,lignite,subcritical,20,1112220,coal
Belarus,544,natural_gas,CCGT,31,2492198,gas
India,700,coal,subcritical,51,7893133,coal
China,1200,bituminous,supercritical,24,6283780,coal
Oman,255,natural_gas,OCGT,14,759984,gas
Iran,998,natural_gas,CCGT,22,0,gas
Serbia,115,lignite,subcritical,48,1322018,coal
Japan,3966,oil,supercritical,51,8337582,oil
Syrian_Arab_Republic,256,natural_gas,OCGT,8,759984,gas
Israel,450,natural_gas,CCGT,37,0,gas
China,2100,coal,ultrasupercritical,24,6578689,coal
United_States,1000,natural_gas,CCGT,13,0,gas
China,2000,coal,ultrasupercritical,24,12300000,coal
China,700,bituminous,subcritical,30,3515515,coal
United_States,242,subbituminous,subcritical,47,344061,coal
Thailand,330,oil,subcritical,23,2426218,oil
United_States,100,oil,Engine,18,35131,oil
Turkey,630,natural_gas,subcritical,34,820922,gas
Canada,170,natural_gas,cogeneration,27,108033,gas
United_States,1035,natural_gas,CCGT,13,5952623,gas
Russia,340,bituminous,cogeneration,59,1553993,coal
United_States,100,oil,Engine,18,35131,oil
United_States,460,natural_gas,OCGT,24,1333567,gas
China,1510,coal,subcritical,27,7618720,coal
China,700,bituminous,subcritical,16,3367272,coal
Colombia,300,natural_gas,CCGT,18,810609,gas
India,1143,coal,subcritical,50,6687083,coal
Russia,2400,natural_gas,CCGT,42,5156673,gas
India,768,natural_gas,CCGT,7,0,gas
China,1200,bituminous,supercritical,4,0,coal
Czech_Republic,516,coal,subcritical,46,2353464,coal
Germany,773,bituminous,subcritical,64,3232147,coal
Russia,24,coal,subcritical,7,12145,coal
Turkey,135,natural_gas,CCGT,5,0,gas
Egypt,750,natural_gas,CCGT,7,1764947,gas
India,810,natural_gas,CCGT,5,0,gas
Iran,954,natural_gas,OCGT,22,2475519,gas
India,167,natural_gas,CCGT,21,949797,gas
India,120,natural_gas,CCGT,12,816900,gas
China,1200,bituminous,supercritical,10,6848842,coal
United_Kingdom,9,natural_gas,OCGT,22,5531,gas
Mexico,113,oil,Engine,55,0,oil
South_Africa,600,coal,subcritical,39,2473591,coal
Spain,800,natural_gas,CCGT,14,3559368,gas
Ireland,240,oil,subcritical,33,530052,oil
Spain,795,natural_gas,CCGT,11,0,gas
Pakistan,165,oil,Engine,9,618746,oil
Thailand,700,natural_gas,CCGT,5,0,gas
Mongolia,22,subbituminous,subcritical,53,69520,coal
United_States,996,natural_gas,CCGT,13,0,gas
Guatemala,120,bituminous,subcritical,13,355352,coal
Canada,760,coal,subcritical,9,3232147,coal
United_States,652,natural_gas,CCGT,59,4531000,gas
Syrian_Arab_Republic,2204,natural_gas,subcritical,8,1393204,gas
United_States,15,natural_gas,CCGT,31,4463,gas
Germany,119,natural_gas,OCGT,28,1322018,gas
China,1200,bituminous,subcritical,10,5182357,coal
Oman,728,natural_gas,CCGT,9,3921242,gas
Brazil,932,natural_gas,CCGT,16,0,gas
Netherlands,1600,coal,ultrasupercritical,3,0,coal
Turkey,1034,lignite,subcritical,9,6123000,coal
Greece,400,natural_gas,CCGT,20,1093263,gas
India,3000,coal,subcritical,22,22400000,coal
United_States,652,natural_gas,CCGT,59,4531000,gas
Kyrgyzstan,674,coal,subcritical,-14,1112220,coal
Spain,1600,natural_gas,CCGT,41,2554022,gas
United_States,50,natural_gas,subcritical,8,5159,gas
Spain,800,natural_gas,CCGT,6,3877184,gas
Russia,235,natural_gas,subcritical,63,781169,gas
Japan,1000,oil,supercritical,37,1407387,oil
Egypt,140,natural_gas,CCGT,43,980315,gas
Spain,460,natural_gas,CCGT,14,1333567,gas
United_States,1782,bituminous,subcritical,32,16500000,coal
United_States,122,natural_gas,CCGT,30,113315,gas
Philippines,735,bituminous,subcritical,10,307639,coal
China,1200,bituminous,supercritical,13,6292797,coal
Turkey,904,natural_gas,CCGT,34,1269052,gas
Kenya,109,oil,Engine,20,104270,oil
Japan,1000,oil,supercritical,37,1407387,oil
United_Arab_Emirates,428,natural_gas,OCGT,28,2733100,gas
Chile,990,subbituminous,subcritical,102,4375926,coal
Russia,325,natural_gas,CCGT,51,425356,gas
Japan,4400,oil,supercritical,42,1935847,oil
United_States,2,bituminous,subcritical,48,0,coal
Kazakhstan,110,coal,subcritical,7,985372,coal
Spain,1168,bituminous,subcritical,33,7443098,coal
Japan,1625,natural_gas,CCGT,47,8641760,gas
Austria,84,natural_gas,CCGT,41,190778,gas
Brazil,24,oil,subcritical,26,33927,oil
China,600,anthracite,subcritical,7,0,coal
United_States,1567,bituminous,subcritical,32,5698110,coal
China,1200,bituminous,supercritical,4,0,coal
United_States,242,bituminous,subcritical,47,344061,coal
United_States,277,natural_gas,CCGT,62,462481,gas
India,1000,coal,subcritical,10,58865,coal
United_Kingdom,1360,natural_gas,CCGT,38,5863563,gas
Venezuela,315,natural_gas,OCGT,25,1196297,gas
United_Kingdom,1152,natural_gas,CCGT,50,2749881,gas
India,4000,coal,supercritical,5,0,coal
China,1320,bituminous,supercritical,11,2465351,coal
Thailand,124,natural_gas,cogeneration,5,350327,gas
Italy,960,coal,subcritical,10,4375926,coal
United_States,122,natural_gas,CCGT,30,113315,gas
China,724,natural_gas,CCGT,16,3493254,gas
Spain,800,natural_gas,CCGT,12,3546664,gas
United_States,232,subbituminous,subcritical,47,1140785,coal
Japan,1886,natural_gas,subcritical,51,6502441,gas
Qatar,1350,natural_gas,CCGT,6,0,gas
Turkey,39,natural_gas,OCGT,64,37795,gas
Finland,375,coal,subcritical,43,2447700,coal
Japan,1800,natural_gas,supercritical,26,5974696,gas
Ukraine,1800,coal,subcritical,47,7318579,coal
China,209,subbituminous,subcritical,12,1594134,coal
Algeria,730,natural_gas,OCGT,31,0,gas
Spain,1200,natural_gas,CCGT,11,5259241,gas
India,1200,coal,subcritical,7,1615020,coal
Russia,320,natural_gas,CCGT,54,1882341,gas
Russia,586,natural_gas,CCGT,21,1144609,gas
Chile,277,bituminous,subcritical,17,1550877,coal
Saudi_Arabia,587,natural_gas,OCGT,11,2764278,gas
United_States,15,natural_gas,CCGT,31,4463,gas
Japan,333,natural_gas,CCGT,10,1553993,gas
Kuwait,1350,oil,cogeneration,-14,665034,oil
Oman,270,natural_gas,OCGT,21,490193,gas
Egypt,750,natural_gas,CCGT,7,1764947,gas
United_States,100,oil,Engine,18,35131,oil
Belgium,156,natural_gas,OCGT,66,186171,gas
Taiwan,5230,coal,subcritical,7,23300000,coal
United_States,100,oil,Engine,18,35131,oil
China,1200,bituminous,supercritical,5,0,coal
Tunisia,364,natural_gas,CCGT,64,1403206,gas
Canada,90,natural_gas,cogeneration,41,157902,gas
United_States,100,oil,Engine,18,35131,oil
China,1000,lignite,subcritical,25,542749,coal
Canada,950,natural_gas,CCGT,55,749469,gas
Netherlands,266,natural_gas,CCGT,22,857084,gas
Thailand,77,natural_gas,cogeneration,8,350141,gas
Japan,2100,oil,subcritical,44,2815585,oil
China,1200,bituminous,subcritical,19,2093900,coal
Chile,400,natural_gas,CCGT,53,1093263,gas
United_States,883,oil,subcritical,13,2041564,oil
Russia,300,natural_gas,CCGT,52,1152024,gas
China,2400,coal,supercritical,22,6235413,coal
Germany,413,natural_gas,CCGT,77,370630,gas
United_States,1570,natural_gas,CCGT,32,2554022,gas
Russia,474,natural_gas,CCGT,30,76459,gas
Russia,440,natural_gas,CCGT,45,1517440,gas
Lithuania,2255,natural_gas,subcritical,55,1393204,gas
China,2000,coal,ultrasupercritical,7,0,coal
India,1050,coal,subcritical,6,0,coal
Russia,840,natural_gas,CCGT,31,486175,gas
United_States,100,oil,Engine,18,35131,oil
Russia,158,natural_gas,subcritical,13,186171,gas
Indonesia,764,natural_gas,CCGT,5,0,gas
Saudi_Arabia,1061,natural_gas,OCGT,11,12100000,gas
Portugal,600,natural_gas,CCGT,25,4149266,gas
Bulgaria,840,lignite,subcritical,53,6576326,coal
India,1340,coal,subcritical,24,8748110,coal
Russia,17,natural_gas,CCGT,59,71607,gas
United_Kingdom,230,natural_gas,OCGT,19,615783,gas
Russia,2430,natural_gas,CCGT,41,10900000,gas
Russia,95,natural_gas,subcritical,6,753817,gas
Yemen,160,oil,Engine,32,614498,oil
United_States,2,bituminous,subcritical,48,0,coal
Hungary,403,natural_gas,CCGT,33,962896,gas
United_States,1035,natural_gas,CCGT,13,5952623,gas
Spain,1213,natural_gas,CCGT,11,309470,gas
Russia,50,natural_gas,CCGT,54,158745,gas
Turkey,1150,natural_gas,CCGT,9,3550168,gas
Germany,640,natural_gas,CCGT,47,1160895,gas
India,1200,coal,subcritical,7,1615020,coal
China,1200,bituminous,subcritical,21,2912202,coal
Australia,420,bituminous,subcritical,8,2691273,coal
Denmark,646,oil,subcritical,46,3328857,oil
China,600,bituminous,subcritical,10,0,coal
Brunei,80,natural_gas,CCGT,16,238236,gas
China,1800,natural_gas,CCGT,16,10600000,gas
United_Arab_Emirates,2350,natural_gas,OCGT,27,2298431,gas
Chile,165,bituminous,subcritical,12,22800000,coal
Bolivia,90,natural_gas,OCGT,17,157902,gas
Germany,110,natural_gas,OCGT,45,60892,gas
Albania,97,natural_gas,CCGT,27,570785,gas
Morocco,300,natural_gas,OCGT,34,810609,gas
China,1200,bituminous,supercritical,18,6136179,coal
India,980,coal,subcritical,51,4375926,coal
United_States,100,oil,Engine,18,35131,oil
United_States,1000,natural_gas,CCGT,13,0,gas
Spain,400,natural_gas,CCGT,14,1647703,gas
South_Africa,3600,natural_gas,OCGT,38,19900000,gas
United_States,883,oil,subcritical,13,2041564,oil
India,1320,coal,supercritical,3,0,coal
United_States,652,natural_gas,CCGT,59,4531000,gas
Japan,1708,natural_gas,CCGT,21,8263992,gas
Turkey,189,natural_gas,CCGT,5,1304165,gas
Netherlands,680,coal,subcritical,42,5366114,coal
India,1240,coal,subcritical,34,7398470,coal
France,2400,anthracite,subcritical,61,538957,coal
Philippines,490,coal,subcritical,10,3543883,coal
Ukraine,1425,subbituminous,supercritical,61,5086197,coal
United_States,1611,bituminous,subcritical,32,8641760,coal
United_Kingdom,280,natural_gas,OCGT,65,852592,gas
India,574,coal,subcritical,7,3930953,coal
China,4540,bituminous,subcritical,32,34500000,coal
New_Zealand,380,natural_gas,OCGT,17,1439991,gas
India,720,coal,subcritical,44,4879000,coal
Armenia,96,natural_gas,subcritical,56,61299,gas
Libya,62,natural_gas,OCGT,-14,224258,gas
United_States,1000,natural_gas,CCGT,13,0,gas
Mexico,770,natural_gas,CCGT,32,0,gas
Argentina,550,natural_gas,CCGT,48,2967611,gas
United_Arab_Emirates,881,natural_gas,CCGT,39,2471754,gas
Hungary,47,natural_gas,cogeneration,22,28106,gas
Germany,950,anthracite,subcritical,55,6306477,coal
Qatar,1350,natural_gas,CCGT,6,0,gas
United_States,1782,bituminous,subcritical,32,16500000,coal
United_States,1700,subbituminous,subcritical,32,10500000,coal
Russia,82,natural_gas,subcritical,87,238236,gas
United_States,1500,bituminous,subcritical,32,7054332,coal
India,43,natural_gas,CCGT,10,0,gas
Belarus,345,natural_gas,CCGT,46,1365103,gas
India,1200,coal,subcritical,4,0,coal
Malaysia,72,oil,Engine,55,657804,oil
Thailand,281,natural_gas,CCGT,23,303590,gas
Czech_Republic,800,lignite,cogeneration,45,3606368,coal
Denmark,825,coal,subcritical,43,525600,coal
Nicaragua,51,oil,Engine,10,115259,oil
Australia,17,natural_gas,OCGT,5,34162,gas
Kazakhstan,340,coal,subcritical,7,2172687,coal
Netherlands,63,coal,subcritical,21,224258,coal
United_States,2,subbituminous,subcritical,48,0,coal
Poland,227,coal,cogeneration,39,147548,coal
Saudi_Arabia,1061,natural_gas,OCGT,11,12100000,gas
New_Zealand,1000,coal,subcritical,10,6681255,coal
Sweden,261,natural_gas,OCGT,11,1513307,gas
Pakistan,1600,natural_gas,CCGT,32,8155566,gas
United_States,1136,natural_gas,CCGT,13,5323759,gas
Turkey,450,lignite,subcritical,27,3158468,coal
United_States,1720,bituminous,subcritical,32,10500000,coal
China,1900,coal,subcritical,19,3455355,coal
Canada,110,natural_gas,CCGT,41,130423,gas
China,1400,coal,subcritical,28,7510805,coal
Malaysia,190,natural_gas,CCGT,55,192948,gas
China,1200,bituminous,supercritical,21,2912202,coal
India,1200,coal,supercritical,6,0,coal
India,600,coal,subcritical,9,0,coal
Thailand,122,natural_gas,CCGT,5,113315,gas
United_States,1200,natural_gas,CCGT,13,4358140,gas
China,1320,bituminous,supercritical,10,0,coal
Japan,1800,bituminous,supercritical,13,4792563,coal
Sri_Lanka,300,coal,subcritical,15,1190385,coal
Bahrain,1336,natural_gas,CCGT,5,0,gas
Taiwan,480,natural_gas,CCGT,7,1841896,gas
Japan,1886,natural_gas,subcritical,23,6502441,gas
Bahamas,152,oil,subcritical,25,1044891,oil
United_States,1370,natural_gas,CCGT,33,5863563,gas
Ukraine,260,oil,Engine,65,39253,oil
United_States,122,natural_gas,CCGT,30,113315,gas
Romania,74,lignite,subcritical,20,12236,coal
South_Africa,26,lignite,subcritical,11,36368,coal
Italy,140,oil,cogeneration,54,792971,oil
Mongolia,148,subbituminous,subcritical,49,596700,coal
Russia,710,coal,subcritical,57,3066125,coal
Bangladesh,11,oil,subcritical,16,12111,oil
China,1200,bituminous,subcritical,11,2959098,coal
Spain,800,natural_gas,CCGT,10,2300729,gas
United_Kingdom,61,natural_gas,OCGT,99,537819,gas
Poland,488,lignite,subcritical,63,3543883,coal
Mexico,113,oil,Engine,55,0,oil
United_States,1000,natural_gas,CCGT,13,0,gas
Syrian_Arab_Republic,750,natural_gas,CCGT,8,1764947,gas
Egypt,440,oil,subcritical,43,2202695,oil
Netherlands,425,natural_gas,CCGT,45,2733100,gas
United_States,1720,bituminous,subcritical,32,10500000,coal
China,2510,bituminous,supercritical,28,15900000,coal
United_States,989,natural_gas,CCGT,13,5145072,gas
United_States,174,natural_gas,CCGT,30,812538,gas
Kuwait,662,natural_gas,CCGT,-14,1309354,gas
China,2072,coal,ultrasupercritical,8,0,coal
China,2640,coal,subcritical,8,0,coal
Germany,323,coal,subcritical,47,2479804,coal
Japan,1625,natural_gas,CCGT,51,8641760,gas
United_States,44,natural_gas,CCGT,45,22828,gas
Spain,410,natural_gas,CCGT,15,366238,gas
Bolivia,350,natural_gas,OCGT,17,1365103,gas
United_States,100,oil,Engine,18,35131,oil
Russia,195,coal,subcritical,23,1177685,coal
Netherlands,253,natural_gas,CCGT,24,160968,gas
Bangladesh,170,oil,subcritical,44,618746,oil
Italy,766,natural_gas,CCGT,20,0,gas
United_States,652,natural_gas,CCGT,59,4531000,gas
United_States,579,natural_gas,CCGT,59,1913109,gas
China,1560,natural_gas,CCGT,9,2554022,gas
France,4,coal,subcritical,13,118192,coal
United_States,100,oil,Engine,18,35131,oil
Belgium,2,natural_gas,subcritical,11,6720,gas
Russia,30,natural_gas,subcritical,59,39712,gas
Saudi_Arabia,36,natural_gas,OCGT,5,12923,gas
Peru,851,natural_gas,CCGT,10,79039,gas
United_States,12,natural_gas,OCGT,31,12576,gas
Argentina,670,natural_gas,CCGT,48,3422551,gas
United_States,652,natural_gas,CCGT,59,4531000,gas
Germany,21,natural_gas,CCGT,13,84598,gas
Japan,573,natural_gas,OCGT,10,1913109,gas
United_Kingdom,1360,natural_gas,CCGT,38,5863563,gas
China,4400,bituminous,supercritical,13,15600000,coal
United_States,989,natural_gas,CCGT,13,5145072,gas
India,750,coal,subcritical,20,4015000,coal
India,540,coal,subcritical,7,0,coal
Japan,1800,natural_gas,supercritical,34,7614089,gas
Japan,3966,oil,supercritical,23,8337582,oil
United_States,88,natural_gas,CCGT,18,334871,gas
Saudi_Arabia,36,natural_gas,OCGT,5,12923,gas
Spain,1050,lignite,subcritical,7,1688199,coal
Iran,226,natural_gas,OCGT,31,236748,gas
Australia,544,coal,subcritical,36,2214551,coal
Greece,15,oil,Engine,20,18487,oil
Rwanda,8,oil,Engine,32,5531,oil
United_States,88,natural_gas,CCGT,18,245166,gas
United_States,122,natural_gas,CCGT,30,113315,gas
Mexico,770,natural_gas,CCGT,32,0,gas
United_States,2,subbituminous,subcritical,48,0,coal
Russia,430,lignite,cogeneration,41,2691273,coal
United_States,750,natural_gas,CCGT,13,857559,gas
Russia,350,natural_gas,subcritical,58,1365103,gas
India,655,natural_gas,CCGT,19,4243000,gas
Australia,90,natural_gas,OCGT,42,48459,gas
Russia,296,natural_gas,CCGT,40,1366479,gas
New_Zealand,585,natural_gas,OCGT,17,1587768,gas
Russia,882,natural_gas,CCGT,65,2471754,gas
Japan,406,bituminous,subcritical,10,1429297,coal
Ireland,104,natural_gas,OCGT,14,65314,gas
Italy,336,coal,subcritical,52,2248528,coal
India,2600,coal,subcritical,34,20000000,coal
Russia,12,natural_gas,CCGT,13,119529,gas
Western_Sahara,23,oil,Engine,12,0,oil
United_States,100,oil,Engine,18,35131,oil
China,1080,natural_gas,CCGT,33,897278,gas
France,500,anthracite,subcritical,51,1955415,coal
Sri_Lanka,160,oil,Engine,15,535668,oil
Republic_of_Korea,1800,natural_gas,CCGT,20,6849026,gas
China,1900,coal,subcritical,20,5342404,coal
United_States,26,natural_gas,CCGT,31,36368,gas
Ireland,128,coal,subcritical,14,565348,coal
Bolivia,90,natural_gas,OCGT,17,157902,gas
United_States,1200,natural_gas,CCGT,13,4358140,gas
China,1200,bituminous,supercritical,4,0,coal
United_States,652,natural_gas,CCGT,59,4531000,gas
United_States,1200,natural_gas,CCGT,13,4358140,gas
Kenya,320,oil,Engine,-14,0,oil
Netherlands,404,natural_gas,CCGT,22,962896,gas
Russia,2122,coal,cogeneration,52,16200000,coal
China,1200,bituminous,supercritical,10,5182357,coal
United_States,2409,bituminous,subcritical,42,19100000,coal
China,1260,bituminous,supercritical,27,6542240,coal
Mexico,770,natural_gas,CCGT,32,0,gas
Russia,36,natural_gas,CCGT,61,114057,gas
China,1200,coal,supercritical,6,0,coal
Russia,630,natural_gas,CCGT,39,820922,gas
Kenya,825,natural_gas,OCGT,-14,5473000,gas
Belgium,37,natural_gas,OCGT,15,43085,gas
China,2400,coal,supercritical,26,14300000,coal
France,220,natural_gas,subcritical,25,1153882,gas
Argentina,640,natural_gas,supercritical,48,3564000,gas
Vietnam,710,anthracite,subcritical,25,4859672,coal
Hungary,208,natural_gas,CCGT,11,112069,gas
United_States,122,natural_gas,CCGT,30,113315,gas
Austria,529,natural_gas,CCGT,41,1739775,gas
Ukraine,33,oil,Engine,80,130584,oil
China,1300,coal,subcritical,18,3393471,coal
Albania,186,oil,subcritical,27,416230,oil
Venezuela,1720,natural_gas,subcritical,25,0,gas
United_States,600,bituminous,ultrasupercritical,59,3321990,coal
Canada,386,natural_gas,CCGT,32,181066,gas
Belgium,130,natural_gas,cogeneration,66,437677,gas
Tunisia,244,natural_gas,OCGT,64,323059,gas
Germany,1823,anthracite,subcritical,38,0,coal
Japan,1300,natural_gas,CCGT,50,7198174,gas
Serbia,310,lignite,subcritical,48,26500,coal
China,1200,bituminous,supercritical,10,5182357,coal
Argentina,125,natural_gas,OCGT,48,422226,gas
Italy,1065,coal,subcritical,21,12100000,coal
Philippines,1218,bituminous,subcritical,21,2950197,coal
China,320,oil,OCGT,12,1288146,oil
Finland,118,oil,subcritical,43,63221,oil
United_Kingdom,1428,coal_biomass,subcritical,38,6351414,coal
United_States,1035,natural_gas,CCGT,13,5952623,gas
Italy,3600,natural_gas,CCGT,24,562,gas
China,1116,natural_gas,CCGT,60,2151392,gas
United_Arab_Emirates,428,natural_gas,OCGT,28,2733100,gas
Greece,485,natural_gas,CCGT,7,2627965,gas
China,1320,coal,subcritical,15,6669443,coal
United_Arab_Emirates,428,natural_gas,OCGT,28,2733100,gas
Greece,380,oil,subcritical,20,2426218,oil
Pakistan,850,oil,subcritical,17,2041564,oil
Russia,410,oil,cogeneration,41,1259662,oil
United_States,100,oil,Engine,18,35131,oil
Spain,412,natural_gas,CCGT,15,2885000,gas
United_States,9,bituminous,subcritical,31,28003,coal
Russia,2460,natural_gas,CCGT,41,10900000,gas
Qatar,1350,natural_gas,CCGT,6,0,gas
Japan,1800,natural_gas,supercritical,26,5974696,gas
Australia,332,natural_gas,OCGT,19,1553993,gas
Poland,9,natural_gas,CCGT,103,28003,gas
United_States,1611,subbituminous,subcritical,32,8641760,coal
United_States,388,subbituminous,subcritical,24,181066,coal
China,1200,bituminous,subcritical,9,0,coal
China,1200,coal,supercritical,21,0,coal
France,29,coal,subcritical,19,130371,coal
China,470,natural_gas,CCGT,11,4333410,gas
India,500,coal,subcritical,43,1244899,coal
United_States,100,oil,Engine,18,35131,oil
Canada,220,natural_gas,CCGT,14,1153882,gas
China,1200,bituminous,supercritical,9,0,coal
United_Kingdom,1,natural_gas,OCGT,9,0,gas
Egypt,2250,natural_gas,CCGT,31,1393204,gas
United_Kingdom,10,natural_gas,OCGT,15,0,gas
Turkmenistan,500,natural_gas,subcritical,11,0,gas
United_States,1200,natural_gas,CCGT,13,4358140,gas
United_States,1000,natural_gas,CCGT,13,0,gas
France,930,natural_gas,CCGT,64,0,gas
India,2160,coal,subcritical,18,9477230,coal
Ukraine,2200,coal,subcritical,57,6119035,coal
China,1200,bituminous,supercritical,9,0,coal
China,1200,bituminous,supercritical,21,6144295,coal
Poland,263,coal,cogeneration,39,1625424,coal
Mexico,496,natural_gas,CCGT,55,0,gas
United_States,2,subbituminous,subcritical,48,0,coal
United_States,1000,natural_gas,CCGT,13,0,gas
Iran,1000,oil,subcritical,22,320870,oil
Iran,435,natural_gas,CCGT,22,2200000,gas
United_States,652,natural_gas,CCGT,59,4531000,gas
China,2400,coal,supercritical,26,14300000,coal
Japan,1000,oil,subcritical,4,5421793,oil
United_States,1567,bituminous,subcritical,32,5698110,coal
United_Kingdom,688,natural_gas,CCGT,22,5039079,gas
India,1580,natural_gas,CCGT,52,5698110,gas
Brazil,1058,natural_gas,CCGT,16,1698542,gas
China,1200,bituminous,supercritical,12,5940181,coal
Italy,972,natural_gas,CCGT,10,3490868,gas
Australia,576,natural_gas,OCGT,36,1913109,gas
Saudi_Arabia,474,natural_gas,CCGT,11,76459,gas
Greece,316,natural_gas,CCGT,20,1085118,gas
Russia,33,natural_gas,CCGT,87,94962,gas
Canada,105,subbituminous,subcritical,41,546045,coal
Japan,1800,natural_gas,supercritical,27,5974696,gas
Turkey,630,lignite,subcritical,34,3907924,coal
India,36,natural_gas,CCGT,12,139268,gas
Spain,162,lignite,subcritical,47,470734,coal
Portugal,850,natural_gas,CCGT,6,0,gas
China,600,bituminous,subcritical,25,3385591,coal
Taiwan,600,natural_gas,CCGT,7,268401,gas
China,1200,bituminous,supercritical,10,0,coal
China,1200,bituminous,supercritical,13,6292797,coal
India,1720,coal,subcritical,32,10500000,coal
India,630,coal,subcritical,31,5163709,coal
Japan,2295,natural_gas,CCGT,26,10600000,gas
Spain,804,natural_gas,CCGT,6,2823297,gas
Russia,10,natural_gas,CCGT,17,28531,gas
Turkey,210,lignite,subcritical,5,840317,coal
France,1250,natural_gas,CCGT,58,0,gas
China,2030,coal,ultrasupercritical,29,4153135,coal
Ukraine,255,oil,Engine,52,463143,oil
India,740,natural_gas,CCGT,4,0,gas
United_States,2,bituminous,subcritical,48,0,coal
Russia,375,bituminous,cogeneration,24,0,coal
China,2520,coal,subcritical,9,12073,coal
Hungary,196,natural_gas,CCGT,11,830439,gas
China,1430,coal,subcritical,30,6351414,coal
Malaysia,220,natural_gas,CCGT,55,972129,gas
India,1200,coal,supercritical,5,0,coal
China,600,anthracite,subcritical,10,0,coal
United_States,100,oil,Engine,18,35131,oil
Italy,800,natural_gas,CCGT,11,2981555,gas
Germany,585,natural_gas,CCGT,17,1587768,gas
Kuwait,250,natural_gas,CCGT,-14,1251513,gas
Russia,580,coal,subcritical,56,1913109,coal
Saudi_Arabia,36,natural_gas,OCGT,5,12923,gas
United_States,1035,natural_gas,CCGT,13,5952623,gas
United_States,300,natural_gas,CCGT,62,1013303,gas
South_Africa,125,bituminous,subcritical,4,565348,coal
India,100,natural_gas,CCGT,27,581090,gas
Hong_Kong,4108,coal,subcritical,22,23000000,coal
United_States,1000,natural_gas,CCGT,13,0,gas
China,1300,coal,subcritical,17,3675612,coal
India,3300,coal,subcritical,5,0,coal
Pakistan,160,natural_gas,CCGT,9,308983,gas
China,1200,bituminous,subcritical,5,0,coal
